# Trabajo 3 — cambios de estado observados
# inicio: 2026-09-08T17:37:56.876Z  duracion: 420s
# NADA se escribio desde esta sesion. Los controles los movio una persona
# desde la interfaz web de la consola en http://192.168.0.49/mixer.html

--- 14:38:00  volcado inicial asentado: 6665 claves. A partir de aca, solo cambios ---
14:39:01  SETD^i.0.mix^0.5684453119    (antes: 0.5669939331)
14:39:01  SETD^i.0.mix^0.5698966907    (antes: 0.5684453119)
14:39:02  SETD^i.0.mix^0.5713480695    (antes: 0.5698966907)
14:39:02  SETD^i.0.mix^0.5727994483    (antes: 0.5713480695)
14:39:02  SETD^i.0.mix^0.5742508272    (antes: 0.5727994483)
14:39:02  SETD^i.0.mix^0.575702206    (antes: 0.5742508272)
14:39:02  SETD^i.0.mix^0.5771535848    (antes: 0.575702206)
14:39:02  SETD^i.0.mix^0.5786049636    (antes: 0.5771535848)
14:39:02  SETD^i.0.mix^0.5800563424    (antes: 0.5786049636)
14:39:02  SETD^i.0.mix^0.5815077212    (antes: 0.5800563424)
14:39:02  SETD^i.0.mix^0.5829591    (antes: 0.5815077212)
14:39:02  SETD^i.0.mix^0.5844104788    (antes: 0.5829591)
14:39:02  SETD^i.0.mix^0.5858618576    (antes: 0.5844104788)
14:39:03  SETD^i.0.mix^0.5873132364    (antes: 0.5858618576)
14:39:03  SETD^i.0.mix^0.5887646153    (antes: 0.5873132364)
14:39:03  SETD^i.0.mix^0.5902159941    (antes: 0.5887646153)
14:39:03  SETD^i.0.mix^0.5916673729    (antes: 0.5902159941)
14:39:15  SETD^i.0.mute^1    (antes: 0)
14:39:26  SETD^i.0.mute^0    (antes: 1)
14:39:40  SETD^hw.0.gain^0.4887160521    (antes: 0.4872646733)
14:39:40  SETD^hw.0.gain^0.4901674309    (antes: 0.4887160521)
14:39:40  SETD^hw.0.gain^0.4916188097    (antes: 0.4901674309)
14:39:40  SETD^hw.0.gain^0.4930701885    (antes: 0.4916188097)
14:39:40  SETD^hw.0.gain^0.4945215673    (antes: 0.4930701885)
14:39:40  SETD^hw.0.gain^0.4959729462    (antes: 0.4945215673)
14:39:40  SETD^hw.0.gain^0.497424325    (antes: 0.4959729462)
14:39:40  SETD^hw.0.gain^0.4988757038    (antes: 0.497424325)
14:39:41  SETD^hw.0.gain^0.5003270826    (antes: 0.4988757038)
14:39:41  SETD^hw.0.gain^0.5017784614    (antes: 0.5003270826)
14:39:41  SETD^hw.0.gain^0.5032298402    (antes: 0.5017784614)
14:39:41  SETD^hw.0.gain^0.504681219    (antes: 0.5032298402)
14:39:41  SETD^hw.0.gain^0.5061325978    (antes: 0.504681219)
14:39:41  SETD^hw.0.gain^0.5075839766    (antes: 0.5061325978)
14:39:41  SETD^hw.0.gain^0.5090353554    (antes: 0.5075839766)
14:39:41  SETD^hw.0.gain^0.5104867343    (antes: 0.5090353554)
14:39:41  SETD^hw.0.gain^0.5119381131    (antes: 0.5104867343)
14:39:42  SETD^hw.0.gain^0.5133894919    (antes: 0.5119381131)
14:39:42  SETD^hw.0.gain^0.5148408707    (antes: 0.5133894919)
14:39:42  SETD^hw.0.gain^0.5162922495    (antes: 0.5148408707)
14:39:42  SETD^hw.0.gain^0.5177436283    (antes: 0.5162922495)
14:39:42  SETD^hw.0.gain^0.5191950071    (antes: 0.5177436283)
14:39:42  SETD^hw.0.gain^0.5206463859    (antes: 0.5191950071)
14:39:42  SETD^hw.0.gain^0.5220977647    (antes: 0.5206463859)
14:39:42  SETD^hw.0.gain^0.5235491435    (antes: 0.5220977647)
14:39:42  SETD^hw.0.gain^0.5250005224    (antes: 0.5235491435)
14:39:42  SETD^hw.0.gain^0.5264519012    (antes: 0.5250005224)
14:39:42  SETD^hw.0.gain^0.52790328    (antes: 0.5264519012)
14:39:42  SETD^hw.0.gain^0.5293546588    (antes: 0.52790328)
14:39:42  SETD^hw.0.gain^0.5308060376    (antes: 0.5293546588)
14:39:42  SETD^hw.0.gain^0.5322574164    (antes: 0.5308060376)
14:39:42  SETD^hw.0.gain^0.5337087952    (antes: 0.5322574164)
14:39:42  SETD^hw.0.gain^0.535160174    (antes: 0.5337087952)
14:39:42  SETD^hw.0.gain^0.5366115528    (antes: 0.535160174)
14:39:42  SETD^hw.0.gain^0.5380629316    (antes: 0.5366115528)
14:39:43  SETD^hw.0.gain^0.5395143105    (antes: 0.5380629316)
14:39:43  SETD^hw.0.gain^0.5409656893    (antes: 0.5395143105)
14:39:43  SETD^hw.0.gain^0.5424170681    (antes: 0.5409656893)
14:39:43  SETD^hw.0.gain^0.5438684469    (antes: 0.5424170681)
14:39:43  SETD^hw.0.gain^0.5453198257    (antes: 0.5438684469)
14:39:43  SETD^hw.0.gain^0.5467712045    (antes: 0.5453198257)
14:39:43  SETD^hw.0.gain^0.5482225833    (antes: 0.5467712045)
14:39:43  SETD^hw.0.gain^0.5496739621    (antes: 0.5482225833)
14:39:43  SETD^hw.0.gain^0.5511253409    (antes: 0.5496739621)
14:39:43  SETD^hw.0.gain^0.5525767197    (antes: 0.5511253409)
14:39:43  SETD^hw.0.gain^0.5540280986    (antes: 0.5525767197)
14:39:43  SETD^hw.0.gain^0.5554794774    (antes: 0.5540280986)
14:39:43  SETD^hw.0.gain^0.5569308562    (antes: 0.5554794774)
14:39:43  SETD^hw.0.gain^0.558382235    (antes: 0.5569308562)
14:39:44  SETD^hw.0.gain^0.5598336138    (antes: 0.558382235)
14:39:44  SETD^hw.0.gain^0.5612849926    (antes: 0.5598336138)
14:39:44  SETD^hw.0.gain^0.5627363714    (antes: 0.5612849926)
14:39:44  SETD^hw.0.gain^0.5641877502    (antes: 0.5627363714)
14:39:44  SETD^hw.0.gain^0.565639129    (antes: 0.5641877502)
14:39:44  SETD^hw.0.gain^0.5670905078    (antes: 0.565639129)
14:39:44  SETD^hw.0.gain^0.5685418867    (antes: 0.5670905078)
14:39:44  SETD^hw.0.gain^0.5699932655    (antes: 0.5685418867)
14:39:44  SETD^hw.0.gain^0.5714446443    (antes: 0.5699932655)
14:39:44  SETD^hw.0.gain^0.5728960231    (antes: 0.5714446443)
14:39:44  SETD^hw.0.gain^0.5743474019    (antes: 0.5728960231)
14:39:44  SETD^hw.0.gain^0.5757987807    (antes: 0.5743474019)
14:39:44  SETD^hw.0.gain^0.5772501595    (antes: 0.5757987807)
14:39:44  SETD^hw.0.gain^0.5787015383    (antes: 0.5772501595)
14:39:44  SETD^hw.0.gain^0.5801529171    (antes: 0.5787015383)
14:39:44  SETD^hw.0.gain^0.5816042959    (antes: 0.5801529171)
14:39:44  SETD^hw.0.gain^0.5830556748    (antes: 0.5816042959)
14:39:44  SETD^hw.0.gain^0.5845070536    (antes: 0.5830556748)
14:39:44  SETD^hw.0.gain^0.5859584324    (antes: 0.5845070536)
14:39:44  SETD^hw.0.gain^0.5874098112    (antes: 0.5859584324)
14:39:45  SETD^hw.0.gain^0.58886119    (antes: 0.5874098112)
14:39:45  SETD^hw.0.gain^0.5903125688    (antes: 0.58886119)
14:39:45  SETD^hw.0.gain^0.5917639476    (antes: 0.5903125688)
14:39:45  SETD^hw.0.gain^0.5932153264    (antes: 0.5917639476)
14:39:45  SETD^hw.0.gain^0.5946667052    (antes: 0.5932153264)
14:39:45  SETD^hw.0.gain^0.596118084    (antes: 0.5946667052)
14:39:45  SETD^hw.0.gain^0.5975694629    (antes: 0.596118084)
14:39:45  SETD^hw.0.gain^0.5990208417    (antes: 0.5975694629)
14:39:45  SETD^hw.0.gain^0.6004722205    (antes: 0.5990208417)
14:39:45  SETD^hw.0.gain^0.6019235993    (antes: 0.6004722205)
14:39:45  SETD^hw.0.gain^0.6033749781    (antes: 0.6019235993)
14:39:45  SETD^hw.0.gain^0.6048263569    (antes: 0.6033749781)
14:39:45  SETD^hw.0.gain^0.6062777357    (antes: 0.6048263569)
14:39:45  SETD^hw.0.gain^0.6091804933    (antes: 0.6062777357)
14:39:45  SETD^hw.0.gain^0.6120832509    (antes: 0.6091804933)
14:39:46  SETD^hw.0.gain^0.6135346298    (antes: 0.6120832509)
14:39:46  SETD^hw.0.gain^0.6149860086    (antes: 0.6135346298)
14:39:46  SETD^hw.0.gain^0.6164373874    (antes: 0.6149860086)
14:39:46  SETD^hw.0.gain^0.6178887662    (antes: 0.6164373874)
14:39:46  SETD^hw.0.gain^0.6207915238    (antes: 0.6178887662)
14:39:46  SETD^hw.0.gain^0.6222429026    (antes: 0.6207915238)
14:39:46  SETD^hw.0.gain^0.6236942814    (antes: 0.6222429026)
14:39:46  SETD^hw.0.gain^0.6251456602    (antes: 0.6236942814)
14:39:46  SETD^hw.0.gain^0.626597039    (antes: 0.6251456602)
14:39:46  SETD^hw.0.gain^0.6280484179    (antes: 0.626597039)
14:39:46  SETD^hw.0.gain^0.6294997967    (antes: 0.6280484179)
14:39:46  SETD^hw.0.gain^0.6309511755    (antes: 0.6294997967)
14:39:46  SETD^hw.0.gain^0.6324025543    (antes: 0.6309511755)
14:39:46  SETD^hw.0.gain^0.6338539331    (antes: 0.6324025543)
14:39:46  SETD^hw.0.gain^0.6353053119    (antes: 0.6338539331)
14:39:46  SETD^hw.0.gain^0.6367566907    (antes: 0.6353053119)
14:39:47  SETD^hw.0.gain^0.6382080695    (antes: 0.6367566907)
14:39:47  SETD^hw.0.gain^0.6396594483    (antes: 0.6382080695)
14:40:03  SETD^i.0.pan^0.5119047619    (antes: 0.5)
14:40:04  SETD^i.0.pan^0.5238095238    (antes: 0.5119047619)
14:40:04  SETD^i.0.pan^0.5357142857    (antes: 0.5238095238)
14:40:04  SETD^i.0.pan^0.5476190476    (antes: 0.5357142857)
14:40:04  SETD^i.0.pan^0.5595238095    (antes: 0.5476190476)
14:40:04  SETD^i.0.pan^0.5714285714    (antes: 0.5595238095)
14:40:04  SETD^i.0.pan^0.5833333333    (antes: 0.5714285714)
14:40:04  SETD^i.0.pan^0.5952380952    (antes: 0.5833333333)
14:40:04  SETD^i.0.pan^0.6071428571    (antes: 0.5952380952)
14:40:05  SETD^i.0.pan^0.619047619    (antes: 0.6071428571)
14:40:05  SETD^i.0.pan^0.630952381    (antes: 0.619047619)
14:40:05  SETD^i.0.pan^0.6428571429    (antes: 0.630952381)
14:40:05  SETD^i.0.pan^0.6547619048    (antes: 0.6428571429)
14:40:05  SETD^i.0.pan^0.6666666667    (antes: 0.6547619048)
14:40:05  SETD^i.0.pan^0.6785714286    (antes: 0.6666666667)
14:40:05  SETD^i.0.pan^0.6904761905    (antes: 0.6785714286)
14:40:05  SETD^i.0.pan^0.7023809524    (antes: 0.6904761905)
14:40:05  SETD^i.0.pan^0.7142857143    (antes: 0.7023809524)
14:40:06  SETD^i.0.pan^0.7261904762    (antes: 0.7142857143)
14:40:06  SETD^i.0.pan^0.7380952381    (antes: 0.7261904762)
14:40:06  SETD^i.0.pan^0.75    (antes: 0.7380952381)
14:40:06  SETD^i.0.pan^0.7619047619    (antes: 0.75)
14:40:06  SETD^i.0.pan^0.7738095238    (antes: 0.7619047619)
14:40:06  SETD^i.0.pan^0.7857142857    (antes: 0.7738095238)
14:40:06  SETD^i.0.pan^0.7976190476    (antes: 0.7857142857)
14:40:07  SETD^i.0.pan^0.8095238095    (antes: 0.7976190476)
14:40:07  SETD^i.0.pan^0.8214285714    (antes: 0.8095238095)
14:40:07  SETD^i.0.pan^0.8333333333    (antes: 0.8214285714)
14:40:07  SETD^i.0.pan^0.8452380952    (antes: 0.8333333333)
14:40:08  SETD^i.0.pan^0.8571428571    (antes: 0.8452380952)
14:40:08  SETD^i.0.pan^0.869047619    (antes: 0.8571428571)
14:40:09  SETD^i.0.pan^0.880952381    (antes: 0.869047619)
14:40:09  SETD^i.0.pan^0.8928571429    (antes: 0.880952381)
14:40:10  SETD^i.0.pan^0.9047619048    (antes: 0.8928571429)
14:40:11  SETD^i.0.pan^0.8928571429    (antes: 0.9047619048)
14:40:11  SETD^i.0.pan^0.880952381    (antes: 0.8928571429)
14:40:11  SETD^i.0.pan^0.869047619    (antes: 0.880952381)
14:40:11  SETD^i.0.pan^0.8571428571    (antes: 0.869047619)
14:40:11  SETD^i.0.pan^0.8452380952    (antes: 0.8571428571)
14:40:11  SETD^i.0.pan^0.8333333333    (antes: 0.8452380952)
14:40:11  SETD^i.0.pan^0.8214285714    (antes: 0.8333333333)
14:40:11  SETD^i.0.pan^0.8095238095    (antes: 0.8214285714)
14:40:11  SETD^i.0.pan^0.7976190476    (antes: 0.8095238095)
14:40:11  SETD^i.0.pan^0.7857142857    (antes: 0.7976190476)
14:40:11  SETD^i.0.pan^0.7738095238    (antes: 0.7857142857)
14:40:12  SETD^i.0.pan^0.7619047619    (antes: 0.7738095238)
14:40:12  SETD^i.0.pan^0.75    (antes: 0.7619047619)
14:40:12  SETD^i.0.pan^0.7380952381    (antes: 0.75)
14:40:12  SETD^i.0.pan^0.7261904762    (antes: 0.7380952381)
14:40:12  SETD^i.0.pan^0.7142857143    (antes: 0.7261904762)
14:40:12  SETD^i.0.pan^0.7023809524    (antes: 0.7142857143)
14:40:12  SETD^i.0.pan^0.6904761905    (antes: 0.7023809524)
14:40:12  SETD^i.0.pan^0.6785714286    (antes: 0.6904761905)
14:40:12  SETD^i.0.pan^0.6666666667    (antes: 0.6785714286)
14:40:12  SETD^i.0.pan^0.6547619048    (antes: 0.6666666667)
14:40:13  SETD^i.0.pan^0.6428571429    (antes: 0.6547619048)
14:40:13  SETD^i.0.pan^0.630952381    (antes: 0.6428571429)
14:40:13  SETD^i.0.pan^0.619047619    (antes: 0.630952381)
14:40:13  SETD^i.0.pan^0.6071428571    (antes: 0.619047619)
14:40:13  SETD^i.0.pan^0.5952380952    (antes: 0.6071428571)
14:40:13  SETD^i.0.pan^0.5833333333    (antes: 0.5952380952)
14:40:13  SETD^i.0.pan^0.5595238095    (antes: 0.5833333333)
14:40:13  SETD^i.0.pan^0.5476190476    (antes: 0.5595238095)
14:40:13  SETD^i.0.pan^0.5357142857    (antes: 0.5476190476)
14:40:13  SETD^i.0.pan^0.5119047619    (antes: 0.5357142857)
14:40:13  SETD^i.0.pan^0.5    (antes: 0.5119047619)
14:40:13  SETD^i.0.pan^0.4880952381    (antes: 0.5)
14:40:13  SETD^i.0.pan^0.4761904762    (antes: 0.4880952381)
14:40:13  SETD^i.0.pan^0.4642857143    (antes: 0.4761904762)
14:40:13  SETD^i.0.pan^0.4523809524    (antes: 0.4642857143)
14:40:13  SETD^i.0.pan^0.4404761905    (antes: 0.4523809524)
14:40:13  SETD^i.0.pan^0.4285714286    (antes: 0.4404761905)
14:40:14  SETD^i.0.pan^0.4166666667    (antes: 0.4285714286)
14:40:14  SETD^i.0.pan^0.4047619048    (antes: 0.4166666667)
14:40:14  SETD^i.0.pan^0.3928571429    (antes: 0.4047619048)
14:40:14  SETD^i.0.pan^0.380952381    (antes: 0.3928571429)
14:40:14  SETD^i.0.pan^0.369047619    (antes: 0.380952381)
14:40:14  SETD^i.0.pan^0.3571428571    (antes: 0.369047619)
14:40:14  SETD^i.0.pan^0.3452380952    (antes: 0.3571428571)
14:40:14  SETD^i.0.pan^0.3333333333    (antes: 0.3452380952)
14:40:14  SETD^i.0.pan^0.3214285714    (antes: 0.3333333333)
14:40:14  SETD^i.0.pan^0.3095238095    (antes: 0.3214285714)
14:40:14  SETD^i.0.pan^0.2976190476    (antes: 0.3095238095)
14:40:14  SETD^i.0.pan^0.2857142857    (antes: 0.2976190476)
14:40:14  SETD^i.0.pan^0.2738095238    (antes: 0.2857142857)
14:40:14  SETD^i.0.pan^0.2619047619    (antes: 0.2738095238)
14:40:14  SETD^i.0.pan^0.25    (antes: 0.2619047619)
14:40:14  SETD^i.0.pan^0.2380952381    (antes: 0.25)
14:40:15  SETD^i.0.pan^0.2261904762    (antes: 0.2380952381)
14:40:15  SETD^i.0.pan^0.2142857143    (antes: 0.2261904762)
14:40:15  SETD^i.0.pan^0.2023809524    (antes: 0.2142857143)
14:40:15  SETD^i.0.pan^0.1904761905    (antes: 0.2023809524)
14:40:15  SETD^i.0.pan^0.1785714286    (antes: 0.1904761905)
14:40:15  SETD^i.0.pan^0.1666666667    (antes: 0.1785714286)
14:40:15  SETD^i.0.pan^0.1547619048    (antes: 0.1666666667)
14:40:15  SETD^i.0.pan^0.1428571429    (antes: 0.1547619048)
14:40:15  SETD^i.0.pan^0.130952381    (antes: 0.1428571429)
14:40:15  SETD^i.0.pan^0.119047619    (antes: 0.130952381)
14:40:15  SETD^i.0.pan^0.1071428571    (antes: 0.119047619)
14:40:15  SETD^i.0.pan^0.09523809524    (antes: 0.1071428571)
14:40:16  SETD^i.0.pan^0.08333333333    (antes: 0.09523809524)
14:40:16  SETD^i.0.pan^0.07142857143    (antes: 0.08333333333)
14:40:16  SETD^i.0.pan^0.05952380952    (antes: 0.07142857143)
14:40:18  SETD^i.0.pan^0.07142857143    (antes: 0.05952380952)
14:40:41  SETS^i.0.name^PRUEBA    (antes: GTR GAB)
14:40:53  SETD^i.0.aux.0.value^0.3182915842    (antes: 0.3165433325)
14:40:53  SETD^i.0.aux.0.value^0.320039836    (antes: 0.3182915842)
14:40:53  SETD^i.0.aux.0.value^0.3217880877    (antes: 0.320039836)
14:40:53  SETD^i.0.aux.0.value^0.3235363395    (antes: 0.3217880877)
14:40:54  SETD^i.0.aux.0.value^0.3252845912    (antes: 0.3235363395)
14:40:54  SETD^i.0.aux.0.value^0.327032843    (antes: 0.3252845912)
14:40:54  SETD^i.0.aux.0.value^0.3287810947    (antes: 0.327032843)
14:40:54  SETD^i.0.aux.0.value^0.3305293465    (antes: 0.3287810947)
14:40:54  SETD^i.0.aux.0.value^0.3322775982    (antes: 0.3305293465)
14:40:54  SETD^i.0.aux.0.value^0.33402585    (antes: 0.3322775982)
14:40:54  SETD^i.0.aux.0.value^0.3357741017    (antes: 0.33402585)
14:40:54  SETD^i.0.aux.0.value^0.3375223535    (antes: 0.3357741017)
14:40:54  SETD^i.0.aux.0.value^0.3392706052    (antes: 0.3375223535)
14:40:55  SETD^i.0.aux.0.value^0.341018857    (antes: 0.3392706052)
14:40:55  SETD^i.0.aux.0.value^0.3427671087    (antes: 0.341018857)
14:40:55  SETD^i.0.aux.0.value^0.3445153605    (antes: 0.3427671087)
14:40:55  SETD^i.0.aux.0.value^0.3462636122    (antes: 0.3445153605)
14:40:55  SETD^i.0.aux.0.value^0.348011864    (antes: 0.3462636122)
14:40:55  SETD^i.0.aux.0.value^0.3497601157    (antes: 0.348011864)
14:40:55  SETD^i.0.aux.0.value^0.3515083675    (antes: 0.3497601157)
14:40:55  SETD^i.0.aux.0.value^0.3532566192    (antes: 0.3515083675)
14:40:55  SETD^i.0.aux.0.value^0.355004871    (antes: 0.3532566192)
14:40:55  SETD^i.0.aux.0.value^0.3567531227    (antes: 0.355004871)
14:40:55  SETD^i.0.aux.0.value^0.3585013745    (antes: 0.3567531227)
14:40:55  SETD^i.0.aux.0.value^0.3602496262    (antes: 0.3585013745)
14:40:55  SETD^i.0.aux.0.value^0.361997878    (antes: 0.3602496262)
14:40:55  SETD^i.0.aux.0.value^0.3637461297    (antes: 0.361997878)
14:40:56  SETD^i.0.aux.0.value^0.3654943815    (antes: 0.3637461297)
14:40:56  SETD^i.0.aux.0.value^0.3672426332    (antes: 0.3654943815)
14:40:56  SETD^i.0.aux.0.value^0.3689908849    (antes: 0.3672426332)
14:40:56  SETD^i.0.aux.0.value^0.3707391367    (antes: 0.3689908849)
14:40:56  SETD^i.0.aux.0.value^0.3724873884    (antes: 0.3707391367)
14:40:56  SETD^i.0.aux.0.value^0.3742356402    (antes: 0.3724873884)
14:40:56  SETD^i.0.aux.0.value^0.3759838919    (antes: 0.3742356402)
14:40:56  SETD^i.0.aux.0.value^0.3777321437    (antes: 0.3759838919)
14:40:56  SETD^i.0.aux.0.value^0.3794803954    (antes: 0.3777321437)
14:40:56  SETD^i.0.aux.0.value^0.3812286472    (antes: 0.3794803954)
14:40:56  SETD^i.0.aux.0.value^0.3829768989    (antes: 0.3812286472)
